"Date","Price","Open","High","Low","Change %"
"Jan 29, 2023","1.974","2.156","2.243","1.974","-8.61%"
"Jan 22, 2023","2.160","2.090","2.201","2.000","3.50%"
"Jan 15, 2023","2.087","2.095","2.137","1.883","0.53%"
"Jan 08, 2023","2.076","2.174","2.267","2.021","-4.42%"
"Jan 01, 2023","2.172","2.517","2.531","2.155","-14.12%"
"Dec 25, 2022","2.529","2.378","2.535","2.378","6.75%"
"Dec 18, 2022","2.369","2.155","2.401","2.132","10.29%"
"Dec 11, 2022","2.148","1.893","2.202","1.817","13.53%"
"Dec 04, 2022","1.892","1.809","1.906","1.710","4.47%"
"Nov 27, 2022","1.811","1.912","1.987","1.711","-6.41%"
"Nov 20, 2022","1.935","1.940","2.004","1.767","-1.48%"
"Nov 13, 2022","1.964","2.097","2.106","1.890","-6.07%"
"Nov 06, 2022","2.091","2.221","2.304","1.903","-5.60%"
"Oct 30, 2022","2.215","2.021","2.244","1.936","10.69%"
"Oct 23, 2022","2.001","2.217","2.310","1.883","-13.64%"
"Oct 16, 2022","2.317","2.233","2.417","2.103","3.16%"
"Oct 09, 2022","2.246","2.082","2.306","2.027","6.85%"
"Oct 02, 2022","2.102","2.021","2.125","1.667","4.21%"
"Sep 25, 2022","2.017","1.943","2.274","1.943","3.54%"
"Sep 18, 2022","1.948","1.652","2.037","1.639","16.58%"
"Sep 11, 2022","1.671","1.635","1.722","1.517","5.43%"
"Sep 04, 2022","1.585","1.371","1.685","1.346","13.70%"
"Aug 28, 2022","1.394","1.363","1.513","1.307","11.08%"
"Aug 21, 2022","1.255","1.091","1.307","1.045","14.61%"
"Aug 14, 2022","1.095","0.848","1.108","0.746","29.28%"
"Aug 07, 2022","0.847","0.817","0.883","0.691","2.54%"
"Jul 31, 2022","0.826","0.692","0.829","0.535","20.94%"
"Jul 24, 2022","0.683","0.899","0.952","0.651","-23.00%"
"Jul 17, 2022","0.887","0.988","1.247","0.858","-9.77%"
"Jul 10, 2022","0.983","1.178","1.179","0.926","-17.33%"
"Jul 03, 2022","1.189","1.166","1.263","0.968","5.22%"
"Jun 26, 2022","1.130","1.359","1.592","1.078","-16.73%"
"Jun 19, 2022","1.357","1.578","1.722","1.280","-14.87%"
"Jun 12, 2022","1.594","1.444","1.826","1.413","11.31%"
"Jun 05, 2022","1.432","1.175","1.440","1.164","20.64%"
"May 29, 2022","1.187","0.879","1.206","0.879","35.50%"
"May 22, 2022","0.876","0.885","0.947","0.803","1.74%"
"May 15, 2022","0.861","0.855","1.012","0.821","-0.23%"
"May 08, 2022","0.863","1.060","1.111","0.762","-19.04%"
"May 01, 2022","1.066","0.868","1.085","0.827","24.10%"
"Apr 24, 2022","0.859","0.879","0.881","0.694","-3.27%"
"Apr 17, 2022","0.888","0.789","0.896","0.763","15.03%"
"Apr 10, 2022","0.772","0.676","0.808","0.667","19.69%"
"Apr 03, 2022","0.645","0.517","0.660","0.405","30.30%"
"Mar 27, 2022","0.495","0.526","0.661","0.456","1.43%"
"Mar 20, 2022","0.488","0.315","0.503","0.301","72.44%"
"Mar 13, 2022","0.283","0.199","0.328","0.189","45.88%"
"Mar 06, 2022","0.194","-0.151","0.238","-0.181","-208.99%"
"Feb 27, 2022","-0.178","0.093","0.140","-0.187","-214.10%"
"Feb 20, 2022","0.156","0.127","0.211","0.044","14.71%"
"Feb 13, 2022","0.136","0.142","0.241","0.098","-32.34%"
"Feb 06, 2022","0.201","0.110","0.220","0.088","76.32%"
"Jan 30, 2022","0.114","-0.156","0.142","-0.156","-172.61%"
"Jan 23, 2022","-0.157","-0.179","-0.115","-0.229","-9.77%"
"Jan 16, 2022","-0.174","-0.161","-0.088","-0.201","4.82%"
"Jan 09, 2022","-0.166","-0.158","-0.132","-0.223","3.11%"
"Jan 02, 2022","-0.161","-0.260","-0.151","-0.269","-36.11%"
"Dec 26, 2021","-0.252","-0.331","-0.249","-0.336","-22.94%"
"Dec 19, 2021","-0.327","-0.456","-0.312","-0.482","-27.97%"
"Dec 12, 2021","-0.454","-0.426","-0.384","-0.468","4.61%"
"Dec 05, 2021","-0.434","-0.468","-0.387","-0.493","-7.86%"
"Nov 28, 2021","-0.471","-0.427","-0.391","-0.488","6.80%"
"Nov 21, 2021","-0.441","-0.444","-0.303","-0.466","-0.68%"
"Nov 14, 2021","-0.444","-0.359","-0.307","-0.453","28.32%"
"Nov 07, 2021","-0.346","-0.364","-0.306","-0.387","-5.21%"
"Oct 31, 2021","-0.365","-0.182","-0.130","-0.371","117.26%"
"Oct 24, 2021","-0.168","-0.184","-0.138","-0.266","-5.08%"
"Oct 17, 2021","-0.177","-0.240","-0.146","-0.258","-31.92%"
"Oct 10, 2021","-0.260","-0.226","-0.174","-0.285","8.79%"
"Oct 03, 2021","-0.239","-0.317","-0.236","-0.326","-22.65%"
"Sep 26, 2021","-0.309","-0.329","-0.256","-0.332","-1.59%"
"Sep 19, 2021","-0.314","-0.375","-0.306","-0.427","-14.21%"
"Sep 12, 2021","-0.366","-0.419","-0.350","-0.437","-12.44%"
"Sep 05, 2021","-0.418","-0.446","-0.393","-0.459","-6.07%"
"Aug 29, 2021","-0.445","-0.510","-0.431","-0.526","-11.53%"
"Aug 22, 2021","-0.503","-0.566","-0.480","-0.576","-12.67%"
"Aug 15, 2021","-0.576","-0.562","-0.527","-0.583","5.49%"
"Aug 08, 2021","-0.546","-0.545","-0.512","-0.564","1.87%"
"Aug 01, 2021","-0.536","-0.542","-0.521","-0.605","-0.74%"
"Jul 25, 2021","-0.540","-0.506","-0.482","-0.547","9.09%"
"Jul 18, 2021","-0.495","-0.460","-0.441","-0.523","12.76%"
"Jul 11, 2021","-0.439","-0.381","-0.356","-0.442","15.83%"
"Jul 04, 2021","-0.379","-0.323","-0.286","-0.430","16.62%"
"Jun 27, 2021","-0.325","-0.292","-0.269","-0.359","8.70%"
"Jun 20, 2021","-0.299","-0.364","-0.284","-0.364","-14.81%"
"Jun 13, 2021","-0.351","-0.359","-0.292","-0.368","-1.68%"
"Jun 06, 2021","-0.357","-0.299","-0.278","-0.373","20.20%"
"May 30, 2021","-0.297","-0.269","-0.245","-0.307","6.83%"
"May 23, 2021","-0.278","-0.234","-0.215","-0.308","24.66%"
