Code,TREUR1Y,TREUR10,TREUR12,TREUR15,TREUR2Y,TREUR20,TREUR25,TREUR3Y,TREUR30,TREUR4Y,TREUR5Y,TREUR6Y,TREUR7Y,TREUR8Y,TREUR9Y
19/01/1999,3.006,4.075,NA,NA,3.018,NA,NA,3.141,NA,3.29,3.443,3.591,3.735,3.867,3.983
20/01/1999,3.027,4.08,NA,NA,3.047,NA,NA,3.174,NA,3.316,3.465,3.613,3.75,3.879,3.99
21/01/1999,3.015,4.065,NA,NA,3.039,NA,NA,3.16,NA,3.31,3.46,3.608,3.743,3.871,3.978
22/01/1999,3.002,4.043,NA,NA,3.02,NA,NA,3.14,NA,3.289,3.44,3.581,3.72,3.849,3.958
25/01/1999,2.988,4.02,NA,NA,3,NA,NA,3.115,NA,3.26,3.41,3.55,3.69,3.82,3.93
26/01/1999,3.01,4.04,NA,NA,3.021,NA,NA,3.14,NA,3.28,3.426,3.573,3.71,3.839,3.949
27/01/1999,3.033,4.045,NA,NA,3.037,NA,NA,3.152,NA,3.295,3.439,3.58,3.718,3.844,3.955
28/01/1999,3.011,4.012,NA,NA,3.02,NA,NA,3.133,NA,3.275,3.415,3.555,3.689,3.813,3.923
29/01/1999,3.015,4.02,NA,NA,3.03,NA,NA,3.143,NA,3.284,3.427,3.566,3.7,3.824,3.93
01/02/1999,3.03,4.047,NA,NA,3.048,NA,NA,3.163,NA,3.303,3.446,3.589,3.722,3.848,3.957
02/02/1999,3.053,4.095,NA,NA,3.067,NA,NA,3.186,NA,3.331,3.478,3.625,3.765,3.895,4.005
03/02/1999,3.08,4.124,NA,NA,3.105,NA,NA,3.233,NA,3.375,3.52,3.66,3.796,3.923,4.035
04/02/1999,3.08,4.142,NA,NA,3.115,NA,NA,3.245,NA,3.393,3.539,3.68,3.817,3.94,4.051
05/02/1999,3.08,4.142,NA,NA,3.115,NA,NA,3.245,NA,3.393,3.539,3.68,3.817,3.94,4.051
08/02/1999,3.114,4.194,NA,NA,3.15,NA,NA,3.29,NA,3.44,3.587,3.733,3.87,3.992,4.104
09/02/1999,3.109,4.159,NA,NA,3.14,NA,NA,3.273,NA,3.423,3.572,3.712,3.845,3.965,4.072
10/02/1999,3.087,4.117,NA,NA,3.106,NA,NA,3.235,NA,3.387,3.535,3.675,3.805,3.925,4.031
11/02/1999,3.095,4.141,NA,NA,3.12,NA,NA,3.25,NA,3.4,3.55,3.692,3.826,3.947,4.055
12/02/1999,3.083,4.116,NA,NA,3.101,NA,NA,3.229,NA,3.38,3.529,3.671,3.805,3.924,4.032
15/02/1999,3.098,4.226,NA,NA,3.14,NA,NA,3.282,NA,3.445,3.606,3.759,3.897,4.028,4.137
16/02/1999,3.088,4.223,NA,NA,3.139,NA,NA,3.284,NA,3.449,3.608,3.759,3.899,4.025,4.135
17/02/1999,3.098,4.263,NA,NA,3.159,NA,NA,3.317,NA,3.486,3.647,3.8,3.94,4.065,4.176
18/02/1999,3.08,4.235,NA,NA,3.14,NA,NA,3.291,NA,3.46,3.625,3.776,3.915,4.039,4.149
19/02/1999,3.076,4.265,NA,NA,3.14,NA,NA,3.3,NA,3.472,3.64,3.795,3.937,4.065,4.176
22/02/1999,3.064,4.258,NA,NA,3.13,NA,NA,3.294,NA,3.46,3.625,3.785,3.931,4.06,4.17
23/02/1999,3.045,4.181,NA,NA,3.242,NA,NA,3.25,NA,3.415,3.576,3.73,3.87,3.99,4.098
24/02/1999,3.045,4.181,NA,NA,3.242,NA,NA,3.25,NA,3.415,3.576,3.73,3.87,3.99,4.098
25/02/1999,3.045,4.181,NA,NA,3.242,NA,NA,3.25,NA,3.415,3.576,3.73,3.87,3.99,4.098
26/02/1999,3.045,4.181,NA,NA,3.242,NA,NA,3.25,NA,3.415,3.576,3.73,3.87,3.99,4.098
01/03/1999,3.155,4.331,NA,NA,3.303,NA,NA,3.401,NA,3.565,3.73,3.886,4.025,4.146,4.251
02/03/1999,3.155,4.331,NA,NA,3.303,NA,NA,3.401,NA,3.565,3.73,3.886,4.025,4.146,4.251
03/03/1999,3.206,4.413,NA,NA,3.353,NA,NA,3.453,NA,3.624,3.795,3.951,4.094,4.224,4.331
04/03/1999,3.23,4.529,NA,NA,3.228,NA,NA,3.521,NA,3.695,3.87,4.034,4.191,4.33,4.443
05/03/1999,3.23,4.529,NA,NA,3.228,NA,NA,3.521,NA,3.695,3.87,4.034,4.191,4.33,4.443
08/03/1999,3.129,4.418,NA,NA,3.18,NA,NA,3.38,NA,3.556,3.736,3.91,4.07,4.211,4.331
09/03/1999,3.129,4.418,NA,NA,3.18,NA,NA,3.38,NA,3.556,3.736,3.91,4.07,4.211,4.331
10/03/1999,3.129,4.418,NA,NA,3.18,NA,NA,3.38,NA,3.556,3.736,3.91,4.07,4.211,4.331
11/03/1999,3.105,4.438,NA,NA,3.12,NA,NA,3.344,NA,3.524,3.711,3.895,4.065,4.219,4.346
12/03/1999,3.063,4.366,NA,NA,3.125,NA,NA,3.27,NA,3.455,3.641,3.821,3.992,4.146,4.274
15/03/1999,3.065,4.372,NA,NA,3.136,NA,NA,3.279,NA,3.46,3.65,3.832,4,4.152,4.279
16/03/1999,3.071,4.37,NA,NA,3.13,NA,NA,3.286,NA,3.467,3.654,3.833,4,4.15,4.278
17/03/1999,3.059,4.33,NA,NA,3.112,NA,NA,3.274,NA,3.44,3.619,3.796,3.961,4.11,4.238
18/03/1999,3.059,4.33,NA,NA,3.112,NA,NA,3.274,NA,3.44,3.619,3.796,3.961,4.11,4.238
19/03/1999,3.041,4.299,NA,NA,3.131,NA,NA,3.254,NA,3.425,3.6,3.771,3.94,4.086,4.21
22/03/1999,3.041,4.299,NA,NA,3.131,NA,NA,3.254,NA,3.425,3.6,3.771,3.94,4.086,4.21
23/03/1999,3.041,4.299,NA,NA,3.131,NA,NA,3.254,NA,3.425,3.6,3.771,3.94,4.086,4.21
24/03/1999,3.053,4.36,NA,NA,3.1,NA,NA,3.284,NA,3.461,3.639,3.815,3.985,4.14,4.27
25/03/1999,3.019,4.345,NA,NA,3.095,NA,NA,3.252,NA,3.432,3.614,3.791,3.966,4.122,4.255
26/03/1999,3.019,4.345,NA,NA,3.095,NA,NA,3.252,NA,3.432,3.614,3.791,3.966,4.122,4.255
29/03/1999,3.007,4.43,NA,NA,3.055,NA,NA,3.259,NA,3.445,3.64,3.835,4.025,4.193,4.333
30/03/1999,3.007,4.43,NA,NA,3.055,NA,NA,3.259,NA,3.445,3.64,3.835,4.025,4.193,4.333
31/03/1999,2.985,4.4,NA,NA,3.022,NA,NA,3.221,NA,3.414,3.615,3.81,3.995,4.165,4.3
01/04/1999,2.962,4.375,NA,NA,2.984,NA,NA,3.18,NA,3.375,3.575,3.775,3.966,4.138,4.278
02/04/1999,2.962,4.375,NA,NA,2.984,NA,NA,3.18,NA,3.375,3.575,3.775,3.966,4.138,4.278
05/04/1999,2.962,4.375,NA,NA,2.984,NA,NA,3.18,NA,3.375,3.575,3.775,3.966,4.138,4.278
06/04/1999,2.915,4.335,NA,NA,2.989,NA,NA,3.144,NA,3.341,3.542,3.739,3.925,4.098,4.238
07/04/1999,2.915,4.29,NA,NA,2.989,NA,NA,3.144,NA,3.324,3.52,3.71,3.895,4.061,4.195
08/04/1999,2.925,4.272,NA,NA,2.99,NA,NA,3.142,NA,3.33,3.52,3.706,3.88,4.045,4.176
09/04/1999,2.76,4.2,NA,NA,2.869,NA,NA,3.039,NA,3.231,3.42,3.61,3.79,3.956,4.098
12/04/1999,2.759,4.175,NA,NA,2.87,NA,NA,3.039,NA,3.22,3.405,3.591,3.765,3.931,4.075
13/04/1999,2.762,4.195,NA,NA,2.875,NA,NA,3.045,NA,3.237,3.426,3.61,3.785,3.952,4.094
14/04/1999,2.749,4.22,NA,NA,2.875,NA,NA,3.055,NA,3.247,3.44,3.63,3.81,3.98,4.119
15/04/1999,2.755,4.215,NA,NA,2.887,NA,NA,3.07,NA,3.265,3.455,3.64,3.812,3.974,4.114
16/04/1999,2.767,4.28,NA,NA,2.912,NA,NA,3.101,NA,3.303,3.5,3.685,3.866,4.035,4.177
19/04/1999,2.77,4.301,NA,NA,2.92,NA,NA,3.109,NA,3.306,3.505,3.696,3.883,4.055,4.198
20/04/1999,2.736,4.219,NA,NA,2.863,NA,NA,3.043,NA,3.237,3.432,3.623,3.805,3.975,4.116
21/04/1999,2.707,4.2,NA,NA,2.826,NA,NA,3,NA,3.205,3.405,3.6,3.789,3.958,4.099
22/04/1999,2.71,4.204,NA,NA,2.83,NA,NA,3.004,NA,3.205,3.403,3.6,3.79,3.961,4.101
23/04/1999,2.719,4.235,NA,NA,2.84,NA,NA,3.016,NA,3.22,3.421,3.62,3.813,3.99,4.131
26/04/1999,2.719,4.23,NA,NA,2.835,NA,NA,3.009,NA,3.207,3.41,3.608,3.802,3.98,4.125
27/04/1999,2.714,4.227,NA,NA,2.833,NA,NA,3.004,NA,3.204,3.405,3.605,3.796,3.975,4.122
28/04/1999,2.725,4.24,NA,NA,2.843,NA,NA,3.015,NA,3.216,3.418,3.618,3.807,3.987,4.135
29/04/1999,2.728,4.255,NA,NA,2.85,NA,NA,3.023,NA,3.225,3.428,3.63,3.82,4,4.148
30/04/1999,2.715,4.208,NA,NA,2.825,NA,NA,2.994,NA,3.193,3.393,3.59,3.779,3.954,4.1
03/05/1999,2.715,4.208,NA,NA,2.825,NA,NA,2.994,NA,3.193,3.393,3.59,3.779,3.954,4.1
04/05/1999,2.729,4.245,NA,NA,2.854,NA,NA,3.023,NA,3.223,3.425,3.624,3.815,3.991,4.14
05/05/1999,2.745,4.312,NA,NA,2.885,NA,NA,3.064,NA,3.262,3.464,3.665,3.865,4.048,4.201
06/05/1999,2.735,4.277,NA,NA,2.869,NA,NA,3.046,NA,3.246,3.447,3.647,3.838,4.018,4.168
07/05/1999,2.745,4.346,NA,NA,2.895,NA,NA,3.081,NA,3.28,3.481,3.689,3.891,4.075,4.232
10/05/1999,2.741,4.35,NA,NA,2.882,NA,NA,3.061,NA,3.262,3.466,3.675,3.88,4.071,4.231
11/05/1999,2.736,4.355,NA,NA,2.878,NA,NA,3.057,NA,3.261,3.472,3.68,3.88,4.07,4.235
12/05/1999,2.722,4.391,NA,NA,2.872,NA,NA,3.063,NA,3.275,3.49,3.7,3.906,4.103,4.268
13/05/1999,2.722,4.391,NA,NA,2.872,NA,NA,3.063,NA,3.275,3.49,3.7,3.906,4.103,4.268
14/05/1999,2.67,4.349,NA,NA,2.819,NA,NA,3.016,NA,3.23,3.446,3.655,3.862,4.059,4.222
17/05/1999,2.717,4.46,NA,NA,2.893,NA,NA,3.105,NA,3.325,3.545,3.762,3.969,4.167,4.335
18/05/1999,2.715,4.43,NA,NA,2.882,NA,NA,3.095,NA,3.319,3.539,3.749,3.952,4.143,4.307
19/05/1999,2.742,4.455,NA,NA,2.924,NA,NA,3.142,NA,3.366,3.583,3.789,3.987,4.173,4.334
20/05/1999,2.731,4.402,NA,NA,2.912,NA,NA,3.129,NA,3.35,3.56,3.762,3.953,4.131,4.284
21/05/1999,2.735,4.42,NA,NA,2.92,NA,NA,3.142,NA,3.362,3.572,3.775,3.968,4.149,4.305
24/05/1999,2.735,4.42,NA,NA,2.92,NA,NA,3.142,NA,3.362,3.572,3.775,3.968,4.149,4.305
25/05/1999,2.706,4.365,NA,NA,2.875,NA,NA,3.086,NA,3.305,3.52,3.721,3.915,4.096,4.25
26/05/1999,2.706,4.375,NA,NA,2.873,NA,NA,3.086,NA,3.305,3.522,3.73,3.927,4.107,4.26
