"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.01.2023","459,20","453,96","459,40","449,73","230,65M","0,89%"
"22.01.2023","455,17","451,86","455,98","449,78","875,93M","0,67%"
"15.01.2023","452,12","453,20","459,30","449,93","990,24M","-0,09%"
"08.01.2023","452,54","445,39","453,24","444,50","1,03B","1,83%"
"01.01.2023","444,42","425,90","444,42","425,90","828,84M","4,60%"
"25.12.2022","424,89","428,28","430,51","424,84","334,68M","-0,60%"
"18.12.2022","427,45","425,38","433,51","421,56","677,83M","0,64%"
"11.12.2022","424,74","437,88","447,11","423,41","1,19B","-3,28%"
"04.12.2022","439,13","442,94","443,36","434,12","836,75M","-0,94%"
"27.11.2022","443,29","439,54","445,05","436,50","169,89M","0,58%"
"20.11.2022","440,73","432,85","441,62","431,90","779,96M","1,71%"
"13.11.2022","433,33","432,68","436,41","425,70","980,49M","0,25%"
"06.11.2022","432,26","416,25","435,22","414,68","1,11B","3,66%"
"30.10.2022","416,98","411,30","419,44","405,95","1,03B","1,51%"
"23.10.2022","410,76","398,46","411,41","397,28","1,01B","3,65%"
"16.10.2022","396,29","391,80","404,08","390,43","1,01B","1,27%"
"09.10.2022","391,31","391,02","397,95","379,72","1,06B","-0,09%"
"02.10.2022","391,67","386,43","403,03","381,54","1,06B","0,98%"
"25.09.2022","387,85","388,64","393,70","380,04","1,32B","-0,65%"
"18.09.2022","390,40","408,35","411,77","388,40","1,03B","-4,37%"
"11.09.2022","408,24","420,36","430,47","407,98","1,37B","-2,89%"
"04.09.2022","420,37","415,20","421,64","408,10","964,40M","1,06%"
"28.08.2022","415,97","424,95","426,91","407,09","919,78M","-2,38%"
"21.08.2022","426,09","437,08","437,08","425,56","755,19M","-2,58%"
"14.08.2022","437,36","441,65","444,46","437,07","728,27M","-0,80%"
"07.08.2022","440,87","437,00","442,26","433,87","755,21M","1,18%"
"31.07.2022","435,72","437,63","441,81","433,52","878,05M","-0,59%"
"24.07.2022","438,29","425,04","439,01","423,27","995,50M","2,96%"
"17.07.2022","425,71","414,73","427,85","414,61","1,02B","2,88%"
"10.07.2022","413,78","415,01","417,14","404,78","1,02B","-0,80%"
"03.07.2022","417,12","408,93","417,50","400,50","996,20M","2,45%"
"26.06.2022","407,13","413,52","419,20","402,60","956,94M","-1,40%"
"19.06.2022","412,93","403,38","413,21","400,03","957,22M","2,40%"
"12.06.2022","403,25","420,75","420,75","401,92","1,42B","-4,60%"
"05.06.2022","422,71","440,98","445,72","422,01","936,08M","-3,95%"
"29.05.2022","440,09","444,72","447,79","438,54","916,06M","-0,87%"
"22.05.2022","443,93","432,85","444,07","430,81","953,97M","2,98%"
"15.05.2022","431,10","432,45","441,46","423,46","982,75M","-0,55%"
"08.05.2022","433,48","428,55","433,48","417,27","1,11B","0,83%"
"01.05.2022","429,91","448,26","449,48","426,86","1,02B","-4,55%"
"24.04.2022","450,39","449,64","453,42","436,75","1,10B","-0,64%"
"17.04.2022","453,31","457,90","464,11","453,12","813,82M","-1,42%"
"10.04.2022","459,82","459,28","461,06","451,65","785,48M","-0,25%"
"03.04.2022","460,97","459,36","464,09","452,64","1,17B","0,57%"
"27.03.2022","458,34","453,59","463,79","453,59","1,21B","1,06%"
"20.03.2022","453,55","454,50","459,98","451,96","1,05B","-0,23%"
"13.03.2022","454,60","432,02","454,64","426,81","1,64B","5,43%"
"06.03.2022","431,17","418,67","438,84","405,61","1,90B","2,23%"
"27.02.2022","421,78","450,90","454,12","421,78","1,81B","-7,00%"
"20.02.2022","453,53","461,88","463,62","434,05","1,41B","-1,58%"
"13.02.2022","460,81","466,47","470,53","455,50","1,06B","-1,87%"
"06.02.2022","469,57","463,98","475,86","461,14","1,12B","1,61%"
